Node,Load of node by messages routed
729481644957494548299007126110387778734375847936,29247
704828048227579907843662167303991025057124999164,29172
959611005642192504272559938831125778037275351894,25040
386882779558799077237337351041193574011263940640,32930
767481098454039532499348987852928063185803925171,27765
43803002375905551609260895077062139225111985840,35029
283279085493633886387146057421455528835078021351,33314
47221870292644211879688626616622285548281111750,35661
369874393127514881723067815198312954210672141807,31613
292239892743659812180710678558033999070327884896,32993
576713032837336861763228666998469227399802426263,27701
192933633710363740920523010374545349552799267130,32593
622735947333313148943966902435538232293269136251,27722
1340491516963561683889530109877144667978721942670,31946
380655214996041379708998910322938584594369304742,32671
238207062163009509742845134324098935978110509642,32320
1426750184838459920491585901417671790060876738066,31812
1055774228053149807049195788085164027019366664540,26266
297801028458750244772564896033563243633262962320,33561
1068775490034837955418337858558546695152778696410,26582
1015027318417262380571337119939266446712898228529,26101
1254891511058560979938293234244996807676239951143,29694
950823830177363926674596554952960447796542094844,24999
1211570265683175999678909060982758248086701362817,29193
1021048411826003218285283723978736223338114219912,26543
160216003053371490389769163845542251846253941699,32855
999946397758282871127304826173511554077724049182,25143
977342017371276156324382979764318502094723109626,25187
623633992478269190991676337520204711692417189722,28286
30183050852305394667841702022773393851835784891,33777
677599491115373745160698942497656500815087337875,28344
1275388753520817081485090964563257454874308253572,29468
1437220132300178670064409022790639091133524114740,32534
1389382082589745167843744054130449347764835740908,32543
1053418213866415795572462318968826855014173810164,25828
1141199500578634801275752728329674134967866784273,28077
1094542295210289731705043362487497878238173329999,28770
373572039823772302504121502238708854098484547541,32114
1419822556825252924925892477290903917742430995740,31439
812180561768945191773332219748963752261002376277,26970
266808634857611063601572349853078141081505615005,33438
670454092932440443758184304731053246158573384487,27945
1449785924563898888731880968551725896396956733061,33235
230593042891214298918361948832438601481680697480,32026
849010717567400551513662333948246613086601802391,27301
661647686351225490273730434675947305310325322611,27956
1184208610664526023197871572875431935255229508315,28699
26589174984910780339587439976999891301702805752,33172
1379617967096010683052177424226519263331034253246,32519
1325280423745483149647709403985858774229961280210,30331
1076745148296299988683871016526656249498135620855,28229
168688056984442614863050922946408570845000383898,33155
456329980205373611185328575498219788260515190770,31790
703733274979158299224284163480149195620161582674,28531
1123030804847334429338665046881024294241479571280,27944
1071548169645633715027515754107640607958562010101,27186
1298207367273263263165109708970029185322035157823,30604
241002429607064371626101890787662398830682362221,32863
1335100206392926958494553064961571359149506354041,31495
796596789137272794530612102997495697101226075949,27053
1172920619472566325143002194092858462775373381807,27851
864886081397084211227132316794390161858504636573,27340
827296432720038255782723920549980375500711663093,26768
565259909032845766135929246049232469098686512884,27593
709011213634550618339428840742479359005704590704,29752
1006266852868800826763281338571983300431864054848,25630
1073634030601755070837908310070611753276699847588,27767
1182393182237314824954420970244095469067692367374,28083
1344062192977233947608162216195658584331465256349,32437
31724256147424485716206760456436551697542700840,34212
515836616512300784374565950871456542799732644452,29250
1354148302138147726247370963987820332464209713688,32891
1275615342775241305483177749633740369346096258211,30082
1427483418830670425644637373729962976769459810225,32425
639650273471556980508907127304439573065244496972,28164
832330612437632508041486164740507715027640718994,27221
595602434724113633293422964152044969975634921367,27300
917110696775569663840912822943373253946566566911,25493
601619516358025045802458661822867582674563203090,27692
1197559465036478606888298231883341939100515118514,28508
105062036462468994367584684300608831160653499562,33488
1079742811189964234499484951747232426965497284359,28855
1445865291537311550850966586919552647869665401731,32712
262210906694218331906150468229502090114496309093,32911
1246523163666805305278461110761560546868507436016,29142
1212828903051014217406427679191206151582223673055,29773
108377450343765606422802733740833526549093946882,33979
1161714115637317789877519296598705861847184577987,27818
1021585522729112520823756437042752089020067134778,27022
879444863195166273708007953173255724167583203731,26807
326563449250094971650654503982222671032360739038,32730
111729441001390805947700311729817209387759757808,34505
41650929571224491879879265531346658840692825189,34608
1279285840048546731412401798207394655700478940227,30664
1205570962488860669518112856360017514767005012365,28741
448625517571193782418471150746113533387527523020,31666
1330101889389811591661680395910576124276809765457,30866
16394232890184937459548997846282885481563240586,32896
941753466466456216880913570385604236901608816884,24894
688070389272690427868619136777718562764957790459,28517
1421290430873330486273590576567711706073504367661,31923
236110960538062148464948439798229758716798125277,28902
1403094282217608014734968346848315056549957219056,30623
1086172082590625045563817755588314374929345056641,30043
285393574421792464156323770098135638514164746183,31549
786315287585995780544629392708105111684542252818,32010
174714271184255377912454712415327820962753751911,29928
567966387908692813010809345550960453560914489920,28078
451380213905560218671435729541322653740570874911,30041
585953868661684759371479039982427674526735738846,28211
1135340771834505173029451311926134934461272784943,31636
888167504611756860752808734715039248790649224581,30749
266350753876668129127878737132395346998811805732,30353
1350100983537884548749071535924174658266879526545,31498
727280835351704988603103742517652649896158368671,31147
260239577724338669537715129351831568322239659867,30009
548637336506567642896314914377582577938665803208,28319
179270409369263301840240390529533127403209378978,30043
910032394834158720086459393332002767386985543473,31075
307640130047738236225776503964396280050372511228,30802
1422544479257477138566661336226350232428543677105,33098
1134357893014956677329535843942806758483575700937,31032
1016314148736674953003290525561173833688610222349,31366
662992453413702557498359404778208311404447007080,27257
482138913603813262928703407645196465483424729747,30079
1163865291056808645965861602557777594611372694307,33335
1421569937225812900534146580223394211764072152778,32569
979050406791937530864299314672325087989689877179,30467
1410811110901107597327213941265486370154412750905,30993
340969734586676332373354937826341465566705762167,30634
919436617799118675848790173032264575836842577081,31416
878240340207796583155448437099665995603731112798,30624
771857363508782563280687006060451356863771702230,31992
1157138237503288462327949189390299501827806685113,33134
898485544469608425692222283771177551340870829377,30645
1112126239710511841307259745691264791049495465909,30673
464762832740178198798200149981057215678659236564,30220
707729618041700172559360837001762694596771893722,27955
277863845138583828829202837482943711033967588338,30576
125900494535376837104313135268372721852892066637,29965
331476756907893824740902708513893901590478928666,30382
699465609718320308998467201584401798061251963717,27066
738752461461036159254442964295210043181954291535,31909
853144234699594420741261571713335539270766019594,29977
1008104626170094982673640834726718727030510332367,30612
1431805002585344340050634821546810122294408191480,33352
737234433700054880411774880184201327755604218370,31371
127350197236643772022968972161269068823223603648,30553
582544521057200087708219956380588578129241455512,27845
221168495492473951034310177788828149100656118927,28859
1075170311416491875046832038716529800166040431190,29986
714756278635635738318692244893132575108699533683,29659
712893284990448156125905649728192169141347100824,29052
1456860064306011000822166357204168662163052247946,34076
916941476361228921848421629448361074806393266710,30997
1444028545902142539201603526852690009446575180082,33849
594270636976047714298595568967386434154568376537,28697
830546244323144280829010210468282520290823104563,30044
715108089755134845101865593789867063441534571484,30296
101505981651818430823900768940775518273036685721,30390
1012054214184529161587759342831089544527306367837,31044
1214744048328834413140899713557767733206489388339,35505
1241024532906277374766271951532362881815514069812,35635
418879784525724779735464786109820383819697380984,29914
1179133819176184707608384458872920381549146523859,34745
1172397997147250511442909173784568319689283243268,33664
976440026266426715933265542631047118214602026182,29922
921218271101288518422957660580739952977639711167,31958
491022342932774400159349810384295664480448098298,30182
1112420179775873641830644987107752783794625173613,31275
1105806402699164229159753817683444430484546670747,30524
868665435800982405695110880200330508791399656927,30546
1183105267556317715468203611104084595064476882401,35170
1220998974771563171859145197219593517909907770347,35844
706112552634863502634297305909329004311775068283,27449
430631615451123565517120599039587204723211543448,30081
909098599047710265169025668219738000936730432342,30564
639119854061005857058309108956018793617256926419,27836
1399929780419542537891168874608220195445330854455,30243
1142198240069305007951893680046690507408860675193,32180
710226883865717006813772750335782095275527587838,28409
1174350370669614876575284368052586752299761692535,34297
663105733690386012759909887289153874732109629621,27865
404734720417659722683701875357190550383621041512,29955
1414664008560275896416796919973578836608841553676,31593
236871137026804141350395625020707444688032536420,29507
1041609872572147822923833906423414904120110356216,30755
237346055233633372573031185692597439649529534046,30109
1002850823159001908387197933744355849326097462283,30188
383816897007805130408851393874790956342965878506,30176
1153601165798395084103502201969353664667626513152,32598
1117791693079461911950264620302042400295082150263,31456
167134060546440895042331922841484991294279755471,29450
863219973242981057654698219886459911748241683254,30248
628459872773034568440556643247139995704583477914,27776
715759776555507657377113823883236383578962250214,30932
1102433726578713388846787184030608078280288414400,30160
751784214283030068138040617173185916439837903413,32142
279591392019862122155051443344395082296334591118,31048
1211261398896813476830936630392823757530697163540,35053
596506023235731686526828822290730037244942983873,28786
1044055558371166809781382465328245567825142248622,29476
848078285938142546830938036162747211107773850359,28744
935076403484098989108935464023053222037693318619,26778
277147654111361970306477343465664133989503102814,30890
1177126381431396612978527595115699215146296695397,31676
745369833864932486582091167607510494980421384374,28861
851600843795029312792406583896719665014893338105,29353
148096524215361326614139157344850945056862106399,31932
94986959685062235545397944220765762455819519126,30171
953865984419277935718117154415374433482276013688,28679
667353062448701561714548312095878340605640201116,28868
941281543873503552649134685061754139745202887396,28367
616771994828195796098401173321279880549273505894,29469
254751075633667711080666443479119673222971634171,29228
325168105451749742804583179489285791226236360337,31362
1093033274494944851361611566323853188488469966781,30888
987152422739758449996983034521885487840568981319,30984
275403370129104126988426624964439637763757979111,29702
913576937006370671416417670515219797274739493535,27382
528277640982541822853637301510661750605444151851,28778
90594474832760769473784769150554840427181637255,29167
398793406324005038778392457400816269383552102120,31188
1200812328813115815980126822784695754608169935295,33372
1182516408594532046005245184789249108535652636042,33095
301700761683885250675356398551408130304895227100,30896
280239041667949424947351532935033297493782043606,31354
99747723392378423624085931574363949727989571553,30592
1181861748242484198682301112315193576079157872664,32495
1050152068330694664075805167267087841094231302498,30333
105513798935026264772594321067786022618961181270,31171
109085402515757533914752719006847435492745253832,31556
1047103986442387676862318604521456509271306993140,30068
908058902417527950843013240428051488815043326183,27047
962544432066274196570492889400230093602080732381,29679
84868661707651388559343629695189660146827777012,28797
670764641183826923459436243003748212274995074791,29284
1291639614007845427340956895505187570223651006866,33651
822301509508662581986754556568010627191317783867,28525
130410864042649475014726054522280027903198343370,32212
1276367944471238598329083341371011568786089252476,33015
1083611898060770383640650395836858623239756941924,30591
982167159660269103763449928433595043829578251329,30513
1138897791506344780076893412064530799227143805235,31601
1104910531733276748010825908761796253531261890911,31078
957040553793426359017912158725697720654741854719,29329
1061534537410041140346620405610244816313388397722,31066
1117494289416615749564384502075344887336376114542,31878
1414958993897091511407974957520733066193067818897,32335
1363849541409898320727736756984459074513774625939,32302
169909530353241311745156190407573171588909998128,31453
1220268607467914070381717949063962123717938549104,33178
307005321919346370047275046290143706066837343147,31370
816270074317216344065985310355294925807200103559,27853
760715671294958739844328408531365829635480929998,28864
679112985929221617881949169852192472058166112603,29676
48941471033330299127427805920714174296585462291,28685
94051454853303581334116623279196457342040212214,29563
374927114411943764388003994612389527031786209408,30723
574093814162636064723165668210459987502258123579,29571
1342366531721490368268508817523420284065807995447,33142
643755686620424670823550558016457826485473861291,29101
817472921932457931376285028980030340229914453107,28406
1177873875427086595294789140209209086312730171788,32224
1009162613904605562730407508559738156407849431451,30586
560130102696837484985436487001943630418222511663,29700
789885650902508597614017637361410332859676824060,28245
475787438584618004395683923316680071880497144302,28732
1159095509926182391268707752985505924118636679302,31012
64082401623956721629306465114137284152853535865,28444
452570329626595614429539375238450472011890200416,29290
267992850958449424128074636223339640481664120052,29274
1307112178197272315487798137026813571057964817680,33662
1270368254825085951299515807873579638774972201149,32648
487365211019689159931060422358731386641860887526,28536
275529309599475851708232330434439984990135047091,30301
488876430503997302062680776842017350113664973637,29106
1285377429601418453021997562060519521826831441562,33227
397342633754030291575932202280734334867164201688,30534
543904358119979316624513683428251948254058208280,29471
343690740181394928254763004595606895570586436886,31064
1233572571652346591845200506622344706904944908270,33958
681471362157533201510151428580955876051428704584,30248
1166077676210498121864562576978410187868410602540,31464
1112698826156319017298155989415084907093964108901,31402
1050279151549484113226849012462632466727155852256,30947
940676525317881992511155059092072016543390017361,27769
597325727693957393721114684619361137940415482273,29260
699819761554295021998761042880132999974332350210,30378
535586991555224546783299094931335868071434153589,29253
363999274710903061224562552681245941437139167765,30792
1372930061017947095368707240509325171985114388908,33374
1221423838654284309692858610004115666477889871561,33766
502901401340473892412317293239291021041915922236,28952
120848832480420521384946520461201116694302559017,32031
81796010743633150480804732102647100684494605798,28297
845528396200294140325933504697348679685402374953,28273
976455935704656902355695187119823863004677780999,29953
938486057578003100424110258169899520710124326271,27314
1364246111877620009506647984641663279886583949775,32913
211956706788664277100607651496781078257945769706,29428
1193172166905236942649229612169212036548082263681,29850
1279512006765689962127327914509866620935649990831,29512
673396885408280565356763554340189771467634905324,32625
1245415361788482565930605658699721028976092549649,29168
139810943146505538587577043189724543468688786957,29770
527192021026647291090015058698843946500142765910,28484
402126554543692807713534611233279147327077573267,27304
1084370316725268678925666514368963237518634733678,31045
146951326027320583463323946477119989433081173314,30414
1012877014071250724151209767687492068243861513635,31655
821243327323625353214042798119550910068784034045,31382
520294566241721922638850463146862441456813421513,28416
646923436400143610260385106015045165559433510752,33011
829797188688667555902202224187918653684431213909,31204
139385881748222322158515147883278134369541649121,29206
594655989707611280010508086127200122756866567601,31710
120437978752338112161896084534210651061981336600,29393
966239780371241371048396344172379660833499429666,31861
674215428891823883122016008347641015152810595547,33263
703641120343470458536242394166408374153928564071,31905
1031420260498319521764956792373646796688599774856,32011
1392954164401628148992498361800893024736081969715,27598
451445811689792615906166404616663270443503351406,26800
1399410121526652659619813397368726276531142166464,27994
961947165453472804557561134047943894992004868677,31413
617032566290481610834242481306284799813376978106,32154
576516353491733913130041765765470663923208839137,31936
931186667039606966706619598945133594301718198293,31963
561275120882305878892870877209809801270351466514,30027
1095798306304842725385938177213262960767374032265,32383
883025167486444175889364455351183620999606462930,30972
249259359704631371586099428752891763367688461709,30048
24689105212167481264607847426379473631390829043,29341
