Request,Average messages
12288,3.57
10241,4.4
8194,5.13
4099,5.5
4104,2.0
4842,4.2
28683,4.0
16400,3.88
32088,6.25
8210,5.29
4115,4.43
16046,4.11
24598,4.78
31065,5.0
2075,4.8
26654,3.89
16415,4.0
26656,4.0
10275,3.89
12324,2.13
8229,4.5
2086,4.8
18474,3.56
22575,3.2
30768,4.11
17596,4.57
30773,4.0
30776,3.2
20538,3.43
18492,4.5
62,4.11
18495,6.33
26688,3.25
17419,3.13
22600,4.0
16983,6.75
5815,3.83
10322,5.25
30804,5.2
22614,3.4
10329,4.75
24667,4.57
10333,5.0
24672,3.88
30817,3.67
98,3.14
9005,5.0
4199,4.33
28776,4.0
12393,4.89
2154,4.71
24683,4.13
18540,4.75
110,3.56
14447,4.0
115,3.78
28789,4.14
18550,5.63
4215,4.17
26744,3.6
25509,4.75
6268,5.33
30846,4.25
2175,4.63
6273,5.22
6274,5.0
24711,4.0
6280,4.5
24715,4.13
8332,3.29
19986,3.0
6301,5.5
22688,3.75
9689,3.75
163,7.0
6311,5.0
20648,3.67
2217,5.0
4267,4.0
30892,5.0
22702,4.0
175,3.5
2225,4.67
22706,3.3
28019,6.0
16566,5.29
6328,4.67
24761,3.67
31779,4.22
1515,7.0
15733,3.5
4288,4.57
28512,4.88
14531,3.86
8390,3.33
11980,4.0
10444,5.33
22733,5.56
16591,3.25
14544,4.67
30929,5.0
22563,3.46
8405,4.83
2262,1.67
8407,4.29
220,4.6
14557,4.6
22751,5.22
25329,4.67
14561,3.75
6370,5.0
10467,4.33
22171,5.63
4031,4.2
30951,4.57
14570,4.5
20717,6.0
21592,4.13
20719,4.78
26866,4.0
17107,3.43
30966,4.67
16634,4.33
30971,5.33
20732,4.5
26877,3.33
2305,3.43
16643,4.33
4358,2.5
8455,4.56
8456,4.0
30986,5.6
17876,3.44
8461,4.38
28942,3.29
30253,4.0
19922,5.33
30993,4.83
18819,5.0
4374,5.0
18712,4.25
24857,3.75
16666,3.83
27013,5.0
16676,4.75
20776,4.29
10921,2.33
8490,3.5
23270,4.0
8493,3.67
4398,4.57
20784,4.43
26929,4.67
16690,4.5
2357,3.71
28041,5.83
12831,4.56
22844,4.83
14653,4.44
31039,4.86
10563,4.0
326,3.0
12615,5.17
2378,3.43
2379,4.0
4834,4.33
8529,5.0
18770,4.0
14675,4.0
4437,4.6
26967,5.0
14680,4.22
22244,5.2
8540,4.5
353,4.67
18786,3.86
356,2.75
22885,6.33
6204,5.67
31082,4.78
22891,5.14
10604,4.88
6546,3.0
26992,4.67
13374,4.33
23975,5.0
7913,4.33
8569,3.71
6524,3.63
29418,4.67
12015,4.0
27010,4.67
18155,4.5
5526,4.5
25518,4.33
14728,5.2
24971,4.56
12684,4.0
24973,5.13
16782,3.57
16783,4.0
18832,5.44
31121,4.14
24978,5.0
12691,3.67
10645,5.0
10650,5.0
29423,4.33
2460,5.67
31130,5.22
20895,3.29
3969,3.67
16795,3.75
16805,4.14
7720,3.11
2472,3.25
27050,3.86
12717,3.6
5192,4.0
4530,3.75
14771,4.0
436,4.0
12725,3.67
438,4.0
31159,4.0
29113,7.2
16826,3.67
4652,4.63
75,3.5
8645,5.22
22982,5.0
20938,3.0
23287,4.0
22988,4.4
14801,4.0
2515,3.5
26361,4.0
2521,4.29
20954,3.75
13733,4.5
14816,3.5
12769,3.5
10722,4.17
25062,4.67
423,4.83
29167,5.14
2544,3.75
10738,5.5
21587,4.0
18932,4.33
23029,4.33
25590,4.5
20988,3.5
8701,5.14
23041,4.0
514,3.25
18949,4.5
20998,3.14
6663,4.88
27145,4.0
23053,4.0
18959,4.44
5208,4.25
27155,5.0
11694,3.75
6681,4.56
27165,4.33
18975,5.44
2592,4.71
19888,4.0
18984,5.2
27179,3.71
8748,5.0
31154,3.56
2608,4.0
2483,4.71
29236,3.67
6712,3.5
6580,5.29
10813,5.0
15704,3.5
27201,4.11
27203,3.29
29255,5.33
14920,3.71
2633,4.56
31307,3.89
4687,4.5
12880,4.25
23992,4.5
6738,3.89
25171,3.83
597,3.71
19897,4.0
8794,4.4
5903,5.2
5221,3.44
608,3.44
27234,3.5
613,2.17
21094,7.0
6760,2.88
31338,4.67
619,4.33
10860,4.88
21266,5.63
19901,4.0
31346,3.56
19219,2.67
4725,5.14
27254,3.0
3177,5.67
632,5.5
638,4.78
14977,4.0
642,3.57
31366,4.5
17031,5.5
21130,4.33
21132,5.0
2701,5.0
12942,4.86
1133,3.44
6800,3.33
24459,5.5
21141,3.78
8985,4.0
24095,4.67
15010,2.83
26395,3.67
678,4.5
15017,4.5
23215,3.88
8880,4.88
15027,4.43
17077,4.8
31414,4.44
4795,3.22
23941,2.0
17089,5.0
2758,4.63
13000,4.6
25291,4.5
19148,2.0
15053,3.67
2766,4.5
31439,4.0
25296,4.33
2770,4.56
23251,3.75
25301,3.25
21206,5.0
23255,4.56
31840,4.0
27353,3.29
15070,3.5
29408,3.88
23266,4.56
23269,3.8
29414,3.11
15080,4.2
1148,3.8
13221,5.5
6893,4.17
23273,4.33
23279,4.0
23281,5.17
8947,4.33
21239,5.57
29433,2.67
12074,5.5
19200,4.5
770,3.78
4869,3.86
25350,2.0
3299,2.0
2826,2.71
11019,5.88
17164,4.38
19214,4.0
6927,4.56
19218,6.0
4883,3.86
29460,5.0
21269,5.17
21235,4.8
6937,3.89
19226,4.67
20271,3.86
19228,5.0
6942,3.38
22190,6.14
13090,4.67
11043,3.0
13093,4.67
17190,3.5
15153,3.33
6952,2.14
15149,5.33
31534,3.43
14472,3.8
17202,3.33
19251,4.88
11060,4.86
21302,4.83
27452,5.14
31882,4.0
23361,4.17
139,6.0
25413,4.67
6982,4.0
27463,4.75
29512,4.71
96,2.4
25419,5.0
19276,4.25
847,5.38
852,4.67
6997,5.13
22329,4.44
23384,4.88
31603,3.5
2911,1.5
17248,4.0
4961,3.22
4963,3.5
6030,6.0
31591,3.0
11116,4.5
878,3.0
17263,3.29
17265,3.63
2931,2.67
25460,4.25
22334,4.71
25462,4.75
11134,3.63
7039,5.14
7042,5.0
26091,5.25
25477,4.13
25478,4.5
11146,4.83
25483,4.56
910,4.13
15250,2.75
9110,4.0
21401,6.0
18927,5.5
23458,4.0
19363,5.67
13220,4.22
13126,5.0
7078,5.0
1521,6.0
29609,5.11
27563,4.71
5037,4.8
15278,2.8
10397,4.25
9137,3.67
11186,4.0
950,5.0
25417,4.0
32167,4.5
11195,4.75
5962,4.2
31526,4.33
25535,4.6
6304,4.78
5058,4.17
27583,4.86
7110,4.63
13255,5.0
13258,4.86
13259,4.6
13272,5.0
21469,4.0
11232,4.33
993,3.25
17380,2.0
21478,4.5
13604,4.86
11244,4.44
7149,4.6
19443,5.2
31734,6.11
32563,3.67
13306,4.67
7163,4.56
9213,4.5
21502,4.89
11267,4.63
7173,4.5
25606,4.29
3082,2.0
21515,4.57
3089,2.89
3308,4.33
23574,5.57
17433,3.11
29722,3.63
15387,2.67
31772,5.75
1053,4.0
12805,5.25
13346,4.0
27683,4.62
25637,3.75
31785,6.0
29738,3.5
15404,2.83
13358,3.14
7688,4.75
9395,3.33
26291,6.0
3923,5.0
5179,2.63
25661,4.5
9278,5.11
21569,3.86
5643,4.33
13383,4.0
3144,4.33
15436,3.0
19534,4.38
5202,3.33
3155,5.67
15445,2.8
4281,4.14
11352,4.0
13401,5.0
1114,3.67
7262,3.0
19552,4.6
3172,4.71
1125,3.0
3174,5.43
23656,5.0
15548,3.83
20327,5.5
27757,5.13
7281,4.14
15474,3.75
21625,4.8
13434,4.8
21627,4.89
9340,4.78
5246,4.0
25730,6.0
5251,4.6
29828,5.57
31877,4.0
26817,4.0
5257,3.4
21642,3.5
15499,2.77
25740,4.38
30573,4.6
1168,4.56
1175,5.33
13464,4.5
879,4.25
17564,3.8
11423,4.67
7328,5.13
5284,3.56
13477,3.5
17580,4.0
1198,5.33
9392,6.0
7346,5.44
4979,3.56
9398,4.33
31927,5.13
25784,4.5
23737,4.43
3258,4.29
7711,4.0
21692,4.33
27838,3.5
31615,6.0
15556,3.56
10102,3.75
5320,3.67
19660,3.75
7371,4.25
27852,3.71
23758,4.0
18637,4.8
31959,4.0
10251,3.83
13534,4.33
23779,4.8
1319,5.22
23136,4.29
19687,4.33
11496,4.8
23785,4.67
25835,4.67
17644,3.83
29933,3.38
11503,5.71
17648,3.88
24104,4.0
7412,6.0
12158,6.14
15607,3.57
23800,5.0
28543,4.33
9469,4.22
15617,3.33
7426,5.33
15915,4.0
9476,4.57
18646,4.25
5382,4.0
29959,4.33
9480,4.25
13577,4.25
7436,4.67
10886,4.2
5677,3.78
15632,3.38
27921,5.67
25475,4.0
15636,3.14
9497,4.33
1306,5.13
4997,5.0
9506,4.5
17699,5.25
15652,3.33
5414,4.0
13607,4.29
5416,5.0
27945,6.13
17706,2.0
12168,5.2
9522,4.4
9523,4.5
13623,5.44
23640,5.2
17721,4.5
11579,5.0
21822,4.78
5441,5.29
9538,4.6
21387,4.56
19782,4.33
13640,4.5
23883,4.75
5452,4.67
7674,5.0
32078,5.86
23887,4.5
11601,5.5
1362,4.6
1363,5.5
12174,4.67
3415,4.75
7512,4.13
3387,4.0
1372,4.5
32094,5.6
22141,5.0
23904,5.0
17764,4.33
1381,8.0
23912,5.0
25962,3.8
2962,3.29
13678,4.44
1395,5.33
7541,4.56
9592,4.33
26302,5.0
15745,3.5
28037,6.17
8769,5.0
23944,4.8
17801,4.13
9611,5.25
3468,3.5
17806,4.0
11664,4.63
26001,5.0
15766,3.5
3481,3.44
26863,4.0
32157,4.75
11679,3.25
31827,6.0
11033,5.43
11685,3.56
17831,4.06
32171,3.67
21934,3.25
26781,5.0
5553,4.33
26037,4.33
21942,5.17
11703,3.88
17848,3.78
9460,5.0
13754,3.78
3515,4.83
26045,4.0
3521,3.75
21959,3.5
22092,5.0
28109,3.6
28114,4.0
9123,4.17
32212,4.67
9124,3.8
30172,1.0
22778,5.33
2981,3.22
24032,4.33
28130,2.67
3323,5.0
9700,5.0
19895,3.67
24038,4.44
11755,4.22
17902,2.75
22000,5.13
15857,3.43
1522,4.0
18003,5.0
1524,4.75
17911,3.67
22009,5.33
32250,3.0
25173,3.6
7680,4.25
13825,4.0
13826,4.57
22022,4.71
11783,4.29
5640,4.43
3593,4.5
19979,5.0
1548,5.8
28173,3.89
22215,5.14
28175,4.0
22033,4.67
26130,4.75
15893,5.0
11799,4.57
22045,4.67
30239,5.0
1569,6.0
11810,4.33
32293,4.38
26150,4.4
26152,4.0
1578,5.5
15601,3.67
15917,5.0
24110,4.5
26159,4.5
25626,2.4
28595,4.43
7732,3.75
5385,6.0
5689,4.44
12554,4.0
1600,4.75
11841,3.67
7749,4.83
32327,5.11
3340,5.33
9802,4.17
23479,4.4
24140,4.88
5710,3.83
11855,5.0
24147,3.67
3670,4.0
13911,4.0
32344,4.8
18018,3.17
26212,5.4
26214,4.67
20072,3.8
30314,3.44
19389,4.89
32368,4.11
32360,5.0
30324,3.56
26229,3.83
7799,5.0
20088,3.0
32379,5.0
30332,4.5
15978,4.67
22151,5.67
28296,5.57
13963,4.0
26252,4.78
32401,4.63
32405,5.17
28311,5.67
8815,2.8
30466,4.0
3398,3.56
19399,5.0
3757,5.13
9902,3.6
7856,4.22
7857,3.75
20146,5.29
28339,4.17
5813,4.6
20151,5.67
18104,4.67
11173,3.89
27594,4.75
7870,4.57
9919,5.0
32448,5.0
14018,4.56
17355,4.33
24263,4.8
7883,3.67
28364,3.0
3790,3.89
3791,5.43
32467,5.29
21949,4.56
9947,4.86
3804,5.5
1760,5.38
14050,6.5
3812,4.17
24294,5.33
3817,3.57
32039,4.63
9966,5.0
26351,5.56
30451,4.0
22263,5.11
1785,4.0
18170,4.83
24315,4.13
22272,4.67
16129,5.33
20226,4.75
18182,5.11
5896,4.8
1803,4.5
32526,2.67
24335,3.25
24336,3.0
9176,4.33
10002,3.67
20244,3.5
16150,5.5
22295,6.6
18203,4.75
14967,4.0
3877,4.0
27953,6.33
18216,4.25
22492,2.0
3882,4.8
24363,5.0
14124,5.11
5426,4.13
1839,4.83
20272,3.25
1766,5.44
16179,5.33
7988,3.0
3894,4.22
7992,4.0
14137,6.0
13155,5.0
1854,5.33
10049,3.5
24387,5.0
16197,5.56
5959,3.4
10058,3.75
32055,5.5
16204,5.4
5965,4.67
12111,5.6
14160,3.78
6456,2.83
22354,4.5
1875,4.44
20309,5.0
32600,5.5
26459,3.0
8032,3.78
10083,5.2
20325,4.4
8039,4.43
8042,4.33
16237,4.5
1902,4.0
14197,4.0
24438,5.57
17317,3.5
30586,5.0
28650,4.17
30590,4.71
22399,3.4
12161,5.33
26503,3.75
20360,4.29
28554,4.71
30603,4.0
1346,3.0
18318,7.0
26456,3.75
23240,4.71
8930,4.67
14237,3.67
12190,5.88
22435,3.56
30628,3.5
6053,4.11
26537,4.67
31047,4.6
18348,4.6
10161,4.5
4019,4.78
8119,2.5
10168,3.38
16318,3.17
16319,4.0
24515,4.57
9206,4.33
26615,3.44
674,4.33
22478,3.0
1357,3.57
6101,5.33
18391,3.11
17062,5.88
25594,5.22
32741,5.0
18409,4.13
18410,4.89
20459,3.2
14316,5.0
30701,4.33
10226,4.22
22515,2.56
29694,5.25
28663,4.5
14330,2.0
16380,3.44
30717,4.38
32766,4.29
16725,3.43
14336,4.38
6148,4.67
10245,4.11
12294,4.5
14343,4.0
4106,4.43
8203,4.78
12302,5.5
30735,5.5
20499,6.0
32430,5.0
10263,6.5
24,3.0
8217,4.5
24602,3.5
10927,5.56
6174,3.89
22559,5.0
13981,4.0
18465,4.33
26658,4.5
16421,4.14
19121,4.44
8233,4.33
28718,4.43
22579,4.0
4148,4.0
14394,4.88
18495,4.86
14401,3.25
20547,4.5
18503,4.5
16460,4.0
18511,4.63
6840,4.0
14418,4.5
10595,5.5
22612,3.0
22613,3.67
